,cntry2,value,pty_abbr,notes
331,IT,10 volte meglio,10VM,
332,IT,AGL,RI,A standalone list of RI
333,IT,Amnistia giustizia e libertà,RI,A standalone list of RI
334,IT,Amnistia Giustizia e Libertà,RI,A standalone list of RI
335,IT,Amnistia Giustizia Libertà,RI,A standalone list of RI
336,IT,"Amnistia, Giustizia e Libertà",RI,A standalone list of RI
337,IT,Casapound,CPI,
338,IT,casapound italia,CPI,
339,IT,Casapound Italia,CPI,
340,IT,Fare,FFD,Fare per Fermare il Declino
341,IT,FARE,FFD,
342,IT,fare per fermare il declino,FFD,
343,IT,Fare per fermare il declino,FFD,
344,IT,Fare per fermare il Declino,FFD,
345,IT,Fare per Fermare il declino,FFD,
346,IT,Fare per Fermare il Declino,FFD,
347,IT,FAre per fermare il declino,FFD,
348,IT,FARE PER FERMARE IL FUCKING DECLINO &lt;3,FFD,
349,IT,Fermare il Declino,FFD,
350,IT,Fiamma tricolore,FN - FT,Forza Nuova + Fiamma Tricolore
351,IT,Forza Nuova,FN - FT,Forza Nuova + Fiamma Tricolore
352,IT,futuro e libertà,FLI,Futuro e Libertà per l'Italia
353,IT,Futuro e libertà,FLI,Futuro e Libertà per l'Italia
354,IT,Ingroia,LdP,"Lista del Popolo per la Costituzione, LdP"
355,IT,Insieme,Insieme,
356,IT,Italia agli italiani - Forza Nuova,FN - FT,
357,IT,Italia dei Valori,IdV,"Italia dei Valori, IdV"
358,IT,La destra di Storace,La Destra,
359,IT,LaDestra,La Destra,
360,IT,"Lega alla Camera, Italia agli Italiani al Senato",LN,
361,IT,liberi e uguali,LeU,
362,IT,Liberi e uguali,LeU,
363,IT,Lista 3L,3L,"Lista Lavoro e Libertà, 3L"
364,IT,Lista Amnistia Giustizia Libertà,AGL,
365,IT,Lista Giannino,FFD,
366,IT,lista Ingroia,LdP,"Lista del Popolo per la Costituzione, LdP"
367,IT,Lista Ingroia,LdP,"Lista del Popolo per la Costituzione, LdP"
368,IT,Lista insieme,LdP,"Lista del Popolo per la Costituzione, LdP"
